dataset,comparison,p_value,mean_diff,ci_low,ci_high,n_seeds
imdb,DE vs Standard,7.26114587363436e-05,-0.017432000000000003,-0.020303311416863024,-0.01456068858313698,5
imdb,DE vs Diff,0.021314567662931317,-0.00504,-0.00884865125381092,-0.0012313487461890812,5
twitter,DE vs Standard,0.004739834317397995,-0.00464500000000001,-0.007466478739454153,-0.0018235212605458673,10
twitter,DE vs Diff,0.07166590006338229,-0.0024599999999999956,-0.005186751859042552,0.0002667518590425606,10
